Атрибуты	Описание
Номер варианта	Номер варианта
ID	Идентификатор клиента
INCOME_BASE_TYPE	Подтверждение дохода
CREDIT_PURPOSE	Цель получения кредита
INSURANCE_FLAG	Страхование заемщика при получении кредита
DTI	debt-to-income ratio — отношение долга к доходам
SEX	Пол
FULL_AGE_CHILD_NUMBER	Кол-во лет ребенку
DEPENDANT_NUMBER	Кол-во иждивенцев
EDUCATION	Образование
EMPL_TYPE	Должность
EMPL_SIZE	Зарплата
BANKACCOUNT_FLAG	Кол-во аккаунтов у клиента. ( 0 - нет онлайн -кабинета , 1 - есть один онлайн-кабинет, 2 и более - заходил в онлайн кабинет с другого устройства )
Period_at_work	Время работы (кол-во дней)
age	Возраст
EMPL_PROPERTY	Сфера бизнеса работодателя
EMPL_FORM	Организационно - правовая форма
FAMILY_STATUS	Семейный статус
max90days	кол-во запросов в бюро кредитных историй за последние 90 дней
max60days	кол-во запросов в бюро кредитных историй за последние 60 дней
max30days	кол-во запросов в бюро кредитных историй за последние 30 дней
max21days	кол-во запросов в бюро кредитных историй за последние 21 дней
max14days	кол-во запросов в бюро кредитных историй за последние 14 дней
avg_num_delay	Среднее кол-во задержки оплаты
if_zalog	Наличие залога (квартира,машина)
num_AccountActive180	кол-во активных счетов счетов за последние 180 дней
num_AccountActive90	кол-во активных счетов счетов за последние 90 дней
num_AccountActive60	кол-во активных счетов счетов за последние 60 дней
Active_to_All_prc	отношение активных счетов ко всем счетам
numAccountActiveAll	кол-во открытых счетоа
numAccountClosed	кол-во закрытых счетов
sum_of_paym_months	сумма платежей за последний месяц (тыс.)
all_credits	Кол-во кредитов
Active_not_cc	Активные кредитные счета, но не кредитная карта
own_closed	Кол-во закрытых кредитов
min_MnthAfterLoan	минимальное кол-во месяцев, которое прошло с момета взятия прошлого кредита, то есть как давно выдали последний кредит клиенту
max_MnthAfterLoan	кол-во месяцев прошеднее с момента выдачи первого кредита
dlq_exist	наличие просрочки на данный момент
thirty_in_a_year	просрочка больше 30 дней за последний год
sixty_in_a_year	просрочка больше 60 дней за последний год
ninety_in_a_year	просрочка больше 90 дней за последний год
thirty_vintage	просрочка больше 30 дней, когда-либо 
sixty_vintage	просрочка больше 60 дней, когда-либо 
ninety_vintage	просрочка больше 90 дней, когда-либо 
